,Rendement Annuel (%),Volatilité (%),Sharpe Ratio,Skewness,Kurtosis,Min Return (%),Max Return (%),Secteur
SHOP,18.519898188906854,64.78494093741269,0.2549959597071543,0.019773150479331203,4.124606228813127,-20.56148065623357,21.38067975936462,Information Technology
SAP,13.065980805588199,30.626958421515543,0.3613150432141609,-2.0331934222605192,29.286312335299872,-26.339353008045265,9.414447495429576,Information Technology
ASML,16.861008222585586,42.873303957946796,0.34662614845737866,-0.5325956789709815,4.951518670416872,-19.054521757791527,13.604391099168886,Information Technology
TSM,24.879354501243444,37.55364880241381,0.6092445136722066,0.19995930364728753,3.2127838916862275,-15.121918831675124,11.913529301095812,Information Technology
LRCX,18.311391594167134,47.99330770406129,0.3398680435769763,-0.3209758746043196,4.706124387519726,-20.368026172410318,18.492630141294352,Information Technology
KLAC,25.162502539533914,45.38707224874414,0.510332598952223,-0.12236789339997331,4.185586904096361,-15.895550410364795,15.860971948371686,Information Technology
AMAT,19.47667092105989,46.15161175555556,0.3786795359092982,-0.5795526973938242,4.785502828914979,-22.76236284539108,12.056214932705398,Information Technology
ADI,12.736637986829644,34.83899439010803,0.30817875701596426,-0.3379994310910857,8.062989255418415,-18.170036237810567,13.71304201198072,Information Technology
NXPI,10.868290899326452,42.940935099052304,0.20652300372290153,-0.3811665579635811,6.385239522923053,-21.543148108214098,16.471639759916577,Information Technology
INTU,17.230218567989585,36.8772624718942,0.4129975368859663,-0.06056000652305638,5.8012382577007475,-15.637947732610058,18.298896846502803,Information Technology
CDNS,27.759744776226302,36.29764721197476,0.7096808403528713,0.017815748151465274,3.569439950512573,-13.465260624174908,12.56684720760408,Information Technology
CRWD,37.38487037505847,53.826501243885126,0.6573875239397677,-0.250996725421388,3.119112290266432,-18.075517990527974,16.056438281253733,Information Technology
ZS,25.85874956993215,57.212375279755,0.4170207835851684,0.09635221433158218,6.9032839077774995,-20.66006539647694,25.778705433306477,Information Technology
MDB,10.627349934147,66.05782507111687,0.13060299706899103,-0.04362813860879901,6.9357012491255805,-29.196548393435666,24.694299056741013,Information Technology
LIN,14.668231049601795,25.4588289742444,0.49759676937292363,-0.1237439582936654,7.484509304708119,-10.851295863458901,11.059940512146085,Materials
